periodo;indicador;barrio;valor
2024-Q3;ryh_motos;AREA CENTRO;95
2024-Q3;ryh_motos;RIVADAVIA BERNARDINO;45
2024-Q3;ryh_motos;DON BOSCO;28
2024-Q3;ryh_motos;SAN JOSE;24
2024-Q3;ryh_motos;VILLA PRIMERA;23
2024-Q3;ryh_motos;PLAZA PERALTA RAMOS;22
2024-Q3;ryh_motos;LA PERLA;22
2024-Q3;ryh_motos;NEWBERY JORGE;15
2024-Q3;ryh_motos;PUNTA MOGOTES;15
2024-Q3;ryh_motos;ESTACION TERMINAL;15
2024-Q3;ryh_motos;SAN CARLOS;14
2024-Q3;ryh_motos;PERALTA RAMOS OESTE;14
2024-Q3;ryh_motos;DE LA PLAZA FORTUNATO;14
2024-Q3;ryh_motos;FARO NORTE;13
2024-Q3;ryh_motos;SAN JUAN;13
2024-Q3;ryh_motos;GENERAL SAN MARTIN;12
2024-Q3;ryh_motos;NUEVA POMPEYA;12
2024-Q3;ryh_motos;COLINAS DE PERALTA RAMOS;10
2024-Q3;ryh_motos;PRIMERA JUNTA;10
2024-Q3;ryh_motos;CERRITO SUR;9
2024-Q3;ryh_motos;LOS ACANTILADOS;9
2024-Q3;ryh_motos;SAN CAYETANO;9
2024-Q3;ryh_motos;NUEVE DE JULIO;9
2024-Q3;ryh_motos;LIBERTAD;9
2024-Q3;ryh_motos;FRAY LUIS BELTRAN;9
2024-Q4;ryh_motos;AREA CENTRO;69
2024-Q4;ryh_motos;SAN JOSE;35
2024-Q4;ryh_motos;RIVADAVIA BERNARDINO;30
2024-Q4;ryh_motos;VILLA PRIMERA;29
2024-Q4;ryh_motos;PLAZA PERALTA RAMOS;28
2024-Q4;ryh_motos;PUNTA MOGOTES;28
2024-Q4;ryh_motos;PARQUE LURO;27
2024-Q4;ryh_motos;COLINAS DE PERALTA RAMOS;26
2024-Q4;ryh_motos;DON BOSCO;26
2024-Q4;ryh_motos;LA PERLA;24
2024-Q4;ryh_motos;NUEVE DE JULIO;20
2024-Q4;ryh_motos;PERALTA RAMOS OESTE;19
2024-Q4;ryh_motos;SAN CARLOS;18
2024-Q4;ryh_motos;ALFAR;17
2024-Q4;ryh_motos;FRAY LUIS BELTRAN;15
2024-Q4;ryh_motos;NUEVA POMPEYA;14
2024-Q4;ryh_motos;FARO NORTE;13
2024-Q4;ryh_motos;VILLA LOURDES;13
2024-Q4;ryh_motos;MALVINAS ARGENTINAS;12
2024-Q4;ryh_motos;DEL PUERTO;12
2024-Q4;ryh_motos;LAS AVENIDAS;11
2024-Q4;ryh_motos;CONSTITUCION;11
2024-Q4;ryh_motos;ESTRADA JOSE MANUEL;11
2024-Q4;ryh_motos;PRIMERA JUNTA;11
2024-Q4;ryh_motos;ESTACION TERMINAL;11
2024-Q4;ryh_motos;SANCHEZ FLORENCIO;10
2024-Q4;ryh_motos;NEWBERY JORGE;10
2024-Q4;ryh_motos;LOS ACANTILADOS;10
2024-Q4;ryh_motos;LAS LILAS;10
2024-Q4;ryh_motos;ESTACION NORTE;10
2024-Q4;ryh_motos;DE LA PLAZA FORTUNATO;10
2024-Q4;ryh_motos;SAN JUAN;10
2025-Q1;ryh_motos;AREA CENTRO;85
2025-Q1;ryh_motos;LA PERLA;33
2025-Q1;ryh_motos;PLAZA PERALTA RAMOS;28
2025-Q1;ryh_motos;SAN JOSE;28
2025-Q1;ryh_motos;DON BOSCO;27
2025-Q1;ryh_motos;RIVADAVIA BERNARDINO;23
2025-Q1;ryh_motos;VILLA PRIMERA;20
2025-Q1;ryh_motos;PERALTA RAMOS OESTE;19
2025-Q1;ryh_motos;PARQUE LURO;18
2025-Q1;ryh_motos;CONSTITUCION;18
2025-Q1;ryh_motos;PUNTA MOGOTES;16
2025-Q1;ryh_motos;COLINAS DE PERALTA RAMOS;16
2025-Q1;ryh_motos;LAS AVENIDAS;15
2025-Q1;ryh_motos;NUEVA POMPEYA;15
2025-Q1;ryh_motos;LAS AMERICAS;14
2025-Q1;ryh_motos;ESTACION TERMINAL;14
2025-Q1;ryh_motos;SAN CARLOS;13
2025-Q1;ryh_motos;EL PROGRESO;13
2025-Q1;ryh_motos;DEL PUERTO;12
2025-Q1;ryh_motos;ESTRADA JOSE MANUEL;12
2025-Q1;ryh_motos;PRIMERA JUNTA;12
2025-Q1;ryh_motos;SAN CAYETANO;11
2025-Q1;ryh_motos;ZACAGNINI JOSE MANUEL;11
2025-Q1;ryh_motos;NUEVE DE JULIO;10
2025-Q1;ryh_motos;LIBERTAD;10
2025-Q2;ryh_autos;AREA CENTRO;24
2025-Q2;ryh_autos;RIVADAVIA BERNARDINO;21
2025-Q2;ryh_autos;SAN JOSE;19
2025-Q2;ryh_autos;PARQUE LURO;19
2025-Q2;ryh_autos;PUNTA MOGOTES;17
2025-Q2;ryh_autos;LA PERLA;16
2025-Q2;ryh_autos;PARQUE PALERMO;15
2025-Q2;ryh_autos;SAN CARLOS;14
2025-Q2;ryh_autos;DON BOSCO;13
2025-Q2;ryh_autos;DE LAS HERASJUAN GREGORIO;11
2025-Q2;ryh_autos;VILLA PRIMERA;11
2025-Q2;ryh_autos;PERALTA RAMOS OESTE;10
2025-Q2;ryh_autos;PLAZA PERALTA RAMOS;9
