periodo;delito;alcance;barrio;valor
2025-Q2;autos;completo;AREA CENTRO;24
2025-Q2;autos;completo;RIVADAVIA BERNARDINO;21
2025-Q2;autos;completo;SAN JOSE;19
2025-Q2;autos;completo;PARQUE LURO;19
2025-Q2;autos;completo;PUNTA MOGOTES;17
2025-Q2;autos;completo;LA PERLA;16
2025-Q2;autos;completo;PARQUE PALERMO;15
2025-Q2;autos;completo;SAN CARLOS;14
2025-Q2;autos;completo;DON BOSCO;13
2025-Q2;autos;completo;DE LAS HERASJUAN GREGORIO;11
2025-Q2;autos;completo;VILLA PRIMERA;11
2025-Q2;autos;completo;PERALTA RAMOS OESTE;10
2025-Q2;autos;completo;PLAZA PERALTA RAMOS;9
2025-Q2;autos;completo;COLINAS DE PERALTA RAMOS;9
2025-Q2;autos;completo;MALVINAS ARGENTINAS;8
2025-Q2;autos;completo;EL PROGRESO;8
2025-Q2;autos;completo;LOS PINARES;8
2025-Q2;autos;completo;PRIMERA JUNTA;8
2025-Q2;autos;completo;GENERAL BELGRANO;7
2025-Q2;autos;completo;SAN CAYETANO;7
2025-Q2;autos;completo;NUEVE DE JULIO;7
2025-Q2;autos;completo;SAN JUAN;7
2025-Q2;autos;completo;LOS ACANTILADOS;6
2025-Q2;autos;completo;DEL PUERTO;6
2025-Q2;autos;completo;LAS AVENIDAS;6
2025-Q2;autos;completo;SARMIENTO DOMINGO FAUSTINO;6
2025-Q2;autos;completo;LIBERTAD;6
2025-Q4;autos;completo;SAN JOSE;36
2025-Q4;autos;completo;AREA CENTRO;36
2025-Q4;autos;completo;VILLA PRIMERA;29
2025-Q4;autos;completo;DON BOSCO;21
2025-Q4;autos;completo;BELISARIO ROLDAN;18
2025-Q4;autos;completo;BERNARDINO RIVADAVIA;18
2025-Q4;autos;completo;PERALTA RAMOS OESTE;18
2025-Q4;autos;completo;LIBERTAD;18
2025-Q4;autos;completo;PLAZA PERALTA RAMOS;15
2025-Q4;autos;completo;LOS PINARES;14
2025-Q4;autos;completo;PARQUE LURO;13
2025-Q4;autos;completo;COLINAS DE PERALTA RAMOS;12
2025-Q4;autos;completo;CORONEL DORREGO;11
2025-Q4;autos;completo;PUNTA MOGOTES;11
2025-Q4;autos;completo;LA PERLA;11
2025-Q4;autos;completo;DEL PUERTO;10
2025-Q4;autos;completo;LOPEZ DE GOMARA;10
2025-Q4;autos;completo;JOSE MANUEL ESTRADA;10
2025-Q4;autos;completo;LAS AVENIDAS;9
2025-Q4;autos;completo;LOS ANDES;8
2025-Q4;autos;completo;ESTACION NORTE;8
2025-Q4;autos;completo;NUEVA POMPEYA;8
2025-Q4;autos;completo;PRIMERA JUNTA;8
2026-Q1;autos;completo;AREA CENTRO;43
2026-Q1;autos;completo;BERNARDINO RIVADAVIA;23
2026-Q1;autos;completo;VILLA PRIMERA;21
