periodo;anio;trimestre;categoria;indicador;valor;unidad
2024-Q3;2024;Q3;demanda;llamados_911_unicos;54990;llamados
2024-Q4;2024;Q4;demanda;llamados_911_unicos;63574;llamados
2025-Q1;2025;Q1;demanda;llamados_911_unicos;68419;llamados
2025-Q2;2025;Q2;demanda;llamados_911_unicos;53319;llamados
2025-Q3;2025;Q3;demanda;llamados_911_unicos;55113;llamados
2025-Q4;2025;Q4;demanda;llamados_911_unicos;66568;llamados
2026-Q1;2026;Q1;demanda;llamados_911_unicos;69146;llamados
2024-Q3;2024;Q3;general;delitos_contrav_total;6722;hechos
2024-Q4;2024;Q4;general;delitos_contrav_total;7391;hechos
2025-Q1;2025;Q1;general;delitos_contrav_total;8626;hechos
2025-Q2;2025;Q2;general;delitos_contrav_total;7223;hechos
2025-Q3;2025;Q3;general;delitos_contrav_total;7040;hechos
2025-Q4;2025;Q4;general;delitos_contrav_total;8077;hechos
2026-Q1;2026;Q1;general;delitos_contrav_total;8736;hechos
2024-Q3;2024;Q3;general;delitos_contrav_mes1;n/d;hechos
2024-Q4;2024;Q4;general;delitos_contrav_mes1;2521;hechos
2025-Q1;2025;Q1;general;delitos_contrav_mes1;3097;hechos
2025-Q2;2025;Q2;general;delitos_contrav_mes1;2439;hechos
2025-Q3;2025;Q3;general;delitos_contrav_mes1;2302;hechos
2025-Q4;2025;Q4;general;delitos_contrav_mes1;2666;hechos
2026-Q1;2026;Q1;general;delitos_contrav_mes1;3064;hechos
2024-Q3;2024;Q3;general;delitos_contrav_mes2;n/d;hechos
2024-Q4;2024;Q4;general;delitos_contrav_mes2;2427;hechos
2025-Q1;2025;Q1;general;delitos_contrav_mes2;2934;hechos
2025-Q2;2025;Q2;general;delitos_contrav_mes2;2482;hechos
2025-Q3;2025;Q3;general;delitos_contrav_mes2;2350;hechos
2025-Q4;2025;Q4;general;delitos_contrav_mes2;2588;hechos
2026-Q1;2026;Q1;general;delitos_contrav_mes2;2895;hechos
2024-Q3;2024;Q3;general;delitos_contrav_mes3;n/d;hechos
2024-Q4;2024;Q4;general;delitos_contrav_mes3;2443;hechos
2025-Q1;2025;Q1;general;delitos_contrav_mes3;2595;hechos
2025-Q2;2025;Q2;general;delitos_contrav_mes3;2302;hechos
2025-Q3;2025;Q3;general;delitos_contrav_mes3;2388;hechos
2025-Q4;2025;Q4;general;delitos_contrav_mes3;2823;hechos
2026-Q1;2026;Q1;general;delitos_contrav_mes3;2777;hechos
2024-Q3;2024;Q3;general;pct_contra_propiedad;47;porcentaje
2024-Q4;2024;Q4;general;pct_contra_propiedad;48;porcentaje
2025-Q1;2025;Q1;general;pct_contra_propiedad;46;porcentaje
2025-Q2;2025;Q2;general;pct_contra_propiedad;48;porcentaje
2025-Q3;2025;Q3;general;pct_contra_propiedad;49,76;porcentaje
2025-Q4;2025;Q4;general;pct_contra_propiedad;47,64;porcentaje
2026-Q1;2026;Q1;general;pct_contra_propiedad;48,71;porcentaje
2024-Q3;2024;Q3;general;pct_contra_personas;44;porcentaje
2024-Q4;2024;Q4;general;pct_contra_personas;43;porcentaje
2025-Q1;2025;Q1;general;pct_contra_personas;44;porcentaje
2025-Q2;2025;Q2;general;pct_contra_personas;41;porcentaje
2025-Q3;2025;Q3;general;pct_contra_personas;41,45;porcentaje
2025-Q4;2025;Q4;general;pct_contra_personas;42,97;porcentaje
2026-Q1;2026;Q1;general;pct_contra_personas;40,03;porcentaje
2024-Q3;2024;Q3;propiedad;delitos_contra_propiedad_total;3161;hechos
2024-Q4;2024;Q4;propiedad;delitos_contra_propiedad_total;3538;hechos
2025-Q1;2025;Q1;propiedad;delitos_contra_propiedad_total;n/d;hechos
2025-Q2;2025;Q2;propiedad;delitos_contra_propiedad_total;3502;hechos
2025-Q3;2025;Q3;propiedad;delitos_contra_propiedad_total;3503;hechos
2025-Q4;2025;Q4;propiedad;delitos_contra_propiedad_total;3848;hechos
2026-Q1;2026;Q1;propiedad;delitos_contra_propiedad_total;3848;hechos
2024-Q3;2024;Q3;propiedad;robos_hurtos_total;2364;hechos
2024-Q4;2024;Q4;propiedad;robos_hurtos_total;2724;hechos
2025-Q1;2025;Q1;propiedad;robos_hurtos_total;2903;hechos
2025-Q2;2025;Q2;propiedad;robos_hurtos_total;2605;hechos
2025-Q3;2025;Q3;propiedad;robos_hurtos_total;2670;hechos
2025-Q4;2025;Q4;propiedad;robos_hurtos_total;3014;hechos
2026-Q1;2026;Q1;propiedad;robos_hurtos_total;3195;hechos
2024-Q3;2024;Q3;propiedad;autos_sustraidos;388;unidades
2024-Q4;2024;Q4;propiedad;autos_sustraidos;529;unidades
2025-Q1;2025;Q1;propiedad;autos_sustraidos;567;unidades
2025-Q2;2025;Q2;propiedad;autos_sustraidos;458;unidades
2025-Q3;2025;Q3;propiedad;autos_sustraidos;534;unidades
2025-Q4;2025;Q4;propiedad;autos_sustraidos;558;unidades
2026-Q1;2026;Q1;propiedad;autos_sustraidos;655;unidades
2024-Q3;2024;Q3;propiedad;autos_mes1;153;unidades
2024-Q4;2024;Q4;propiedad;autos_mes1;173;unidades
2025-Q1;2025;Q1;propiedad;autos_mes1;228;unidades
2025-Q2;2025;Q2;propiedad;autos_mes1;139;unidades
2025-Q3;2025;Q3;propiedad;autos_mes1;181;unidades
2025-Q4;2025;Q4;propiedad;autos_mes1;204;unidades
2026-Q1;2026;Q1;propiedad;autos_mes1;236;unidades
2024-Q3;2024;Q3;propiedad;autos_mes2;132;unidades
2024-Q4;2024;Q4;propiedad;autos_mes2;161;unidades
2025-Q1;2025;Q1;propiedad;autos_mes2;164;unidades
2025-Q2;2025;Q2;propiedad;autos_mes2;138;unidades
2025-Q3;2025;Q3;propiedad;autos_mes2;173;unidades
2025-Q4;2025;Q4;propiedad;autos_mes2;169;unidades
2026-Q1;2026;Q1;propiedad;autos_mes2;205;unidades
2024-Q3;2024;Q3;propiedad;autos_mes3;103;unidades
2024-Q4;2024;Q4;propiedad;autos_mes3;195;unidades
2025-Q1;2025;Q1;propiedad;autos_mes3;175;unidades
2025-Q2;2025;Q2;propiedad;autos_mes3;181;unidades
2025-Q3;2025;Q3;propiedad;autos_mes3;180;unidades
2025-Q4;2025;Q4;propiedad;autos_mes3;185;unidades
2026-Q1;2026;Q1;propiedad;autos_mes3;214;unidades
2024-Q3;2024;Q3;propiedad;autos_con_arma_fuego;35;hechos
2024-Q4;2024;Q4;propiedad;autos_con_arma_fuego;93;hechos
2025-Q1;2025;Q1;propiedad;autos_con_arma_fuego;89;hechos
2025-Q2;2025;Q2;propiedad;autos_con_arma_fuego;99;hechos
2025-Q3;2025;Q3;propiedad;autos_con_arma_fuego;153;hechos
2025-Q4;2025;Q4;propiedad;autos_con_arma_fuego;n/d;hechos
2026-Q1;2026;Q1;propiedad;autos_con_arma_fuego;161;hechos
2024-Q3;2024;Q3;propiedad;autos_con_otra_arma;17;hechos
2024-Q4;2024;Q4;propiedad;autos_con_otra_arma;9;hechos
2025-Q1;2025;Q1;propiedad;autos_con_otra_arma;15;hechos
2025-Q2;2025;Q2;propiedad;autos_con_otra_arma;9;hechos
2025-Q3;2025;Q3;propiedad;autos_con_otra_arma;22;hechos
2025-Q4;2025;Q4;propiedad;autos_con_otra_arma;n/d;hechos
2026-Q1;2026;Q1;propiedad;autos_con_otra_arma;15;hechos
2024-Q3;2024;Q3;propiedad;motos_sustraidas;700;unidades
2024-Q4;2024;Q4;propiedad;motos_sustraidas;847;unidades
2025-Q1;2025;Q1;propiedad;motos_sustraidas;745;unidades
2025-Q2;2025;Q2;propiedad;motos_sustraidas;693;unidades
2025-Q3;2025;Q3;propiedad;motos_sustraidas;653;unidades
2025-Q4;2025;Q4;propiedad;motos_sustraidas;704;unidades
2026-Q1;2026;Q1;propiedad;motos_sustraidas;704;unidades
2024-Q3;2024;Q3;propiedad;motos_mes1;n/d;unidades
2024-Q4;2024;Q4;propiedad;motos_mes1;299;unidades
2025-Q1;2025;Q1;propiedad;motos_mes1;220;unidades
2025-Q2;2025;Q2;propiedad;motos_mes1;248;unidades
2025-Q3;2025;Q3;propiedad;motos_mes1;205;unidades
2025-Q4;2025;Q4;propiedad;motos_mes1;234;unidades
2026-Q1;2026;Q1;propiedad;motos_mes1;277;unidades
2024-Q3;2024;Q3;propiedad;motos_mes2;n/d;unidades
2024-Q4;2024;Q4;propiedad;motos_mes2;266;unidades
2025-Q1;2025;Q1;propiedad;motos_mes2;258;unidades
2025-Q2;2025;Q2;propiedad;motos_mes2;260;unidades
2025-Q3;2025;Q3;propiedad;motos_mes2;248;unidades
2025-Q4;2025;Q4;propiedad;motos_mes2;211;unidades
2026-Q1;2026;Q1;propiedad;motos_mes2;201;unidades
2024-Q3;2024;Q3;propiedad;motos_mes3;n/d;unidades
2024-Q4;2024;Q4;propiedad;motos_mes3;282;unidades
2025-Q1;2025;Q1;propiedad;motos_mes3;267;unidades
2025-Q2;2025;Q2;propiedad;motos_mes3;185;unidades
2025-Q3;2025;Q3;propiedad;motos_mes3;200;unidades
2025-Q4;2025;Q4;propiedad;motos_mes3;259;unidades
2026-Q1;2026;Q1;propiedad;motos_mes3;226;unidades
2024-Q3;2024;Q3;propiedad;motos_con_arma_fuego;n/d;hechos
2024-Q4;2024;Q4;propiedad;motos_con_arma_fuego;n/d;hechos
2025-Q1;2025;Q1;propiedad;motos_con_arma_fuego;163;hechos
2025-Q2;2025;Q2;propiedad;motos_con_arma_fuego;153;hechos
2025-Q3;2025;Q3;propiedad;motos_con_arma_fuego;186;hechos
2025-Q4;2025;Q4;propiedad;motos_con_arma_fuego;n/d;hechos
2026-Q1;2026;Q1;propiedad;motos_con_arma_fuego;n/d;hechos
2024-Q3;2024;Q3;propiedad;motos_con_otra_arma;n/d;hechos
2024-Q4;2024;Q4;propiedad;motos_con_otra_arma;n/d;hechos
2025-Q1;2025;Q1;propiedad;motos_con_otra_arma;10;hechos
2025-Q2;2025;Q2;propiedad;motos_con_otra_arma;15;hechos
2025-Q3;2025;Q3;propiedad;motos_con_otra_arma;23;hechos
2025-Q4;2025;Q4;propiedad;motos_con_otra_arma;n/d;hechos
2026-Q1;2026;Q1;propiedad;motos_con_otra_arma;n/d;hechos
2024-Q3;2024;Q3;propiedad;robos_hurtos_otros_bienes;1276;hechos
2024-Q4;2024;Q4;propiedad;robos_hurtos_otros_bienes;1348;hechos
2025-Q1;2025;Q1;propiedad;robos_hurtos_otros_bienes;1591;hechos
2025-Q2;2025;Q2;propiedad;robos_hurtos_otros_bienes;1454;hechos
2025-Q3;2025;Q3;propiedad;robos_hurtos_otros_bienes;1483;hechos
2025-Q4;2025;Q4;propiedad;robos_hurtos_otros_bienes;1752;hechos
2026-Q1;2026;Q1;propiedad;robos_hurtos_otros_bienes;1836;hechos
2024-Q3;2024;Q3;propiedad;otros_bienes_mes1;400;hechos
2024-Q4;2024;Q4;propiedad;otros_bienes_mes1;472;hechos
2025-Q1;2025;Q1;propiedad;otros_bienes_mes1;633;hechos
