indicador;categoria;unidad;2024-Q3;2024-Q4;2025-Q1;2025-Q2;2025-Q3;2025-Q4;2026-Q1
llamados_911_unicos;demanda;llamados;54990;63574;68419;53319;55113;66568;69146
delitos_contrav_total;general;hechos;6722;7391;8626;7223;7040;8077;8736
delitos_contrav_mes1;general;hechos;n/d;2521;3097;2439;2302;2666;3064
delitos_contrav_mes2;general;hechos;n/d;2427;2934;2482;2350;2588;2895
delitos_contrav_mes3;general;hechos;n/d;2443;2595;2302;2388;2823;2777
pct_contra_propiedad;general;porcentaje;47;48;46;48;49,76;47,64;48,71
pct_contra_personas;general;porcentaje;44;43;44;41;41,45;42,97;40,03
delitos_contra_propiedad_total;propiedad;hechos;3161;3538;n/d;3502;3503;3848;3848
robos_hurtos_total;propiedad;hechos;2364;2724;2903;2605;2670;3014;3195
autos_sustraidos;propiedad;unidades;388;529;567;458;534;558;655
autos_mes1;propiedad;unidades;153;173;228;139;181;204;236
autos_mes2;propiedad;unidades;132;161;164;138;173;169;205
autos_mes3;propiedad;unidades;103;195;175;181;180;185;214
autos_con_arma_fuego;propiedad;hechos;35;93;89;99;153;n/d;161
autos_con_otra_arma;propiedad;hechos;17;9;15;9;22;n/d;15
motos_sustraidas;propiedad;unidades;700;847;745;693;653;704;704
motos_mes1;propiedad;unidades;n/d;299;220;248;205;234;277
motos_mes2;propiedad;unidades;n/d;266;258;260;248;211;201
motos_mes3;propiedad;unidades;n/d;282;267;185;200;259;226
motos_con_arma_fuego;propiedad;hechos;n/d;n/d;163;153;186;n/d;n/d
motos_con_otra_arma;propiedad;hechos;n/d;n/d;10;15;23;n/d;n/d
robos_hurtos_otros_bienes;propiedad;hechos;1276;1348;1591;1454;1483;1752;1836
otros_bienes_mes1;propiedad;hechos;400;472;633;500;490;609;679
otros_bienes_mes2;propiedad;hechos;432;442;496;495;519;537;629
otros_bienes_mes3;propiedad;hechos;444;434;462;459;474;607;528
comercios_total;propiedad;hechos;210;212;163;229;252;189;182
comercios_con_arma_fuego;propiedad;hechos;22;27;n/d;36;43;38;32
comercios_con_otra_arma;propiedad;hechos;8;5;n/d;10;1;6;4
viviendas_total;propiedad;hechos;289;275;331;343;339;407;397
viviendas_pct_sin_moradores;propiedad;porcentaje;74;n/d;80;71;71;67;72
viviendas_con_moradores_hechos;propiedad;hechos;n/d;n/d;65;99;100;133;107
viviendas_con_arma_fuego;propiedad;hechos;4;2;n/d;17;17;n/d;14
viviendas_con_otra_arma;propiedad;hechos;3;3;n/d;6;2;n/d;12
via_publica_hechos;propiedad;hechos;777;861;1097;n/d;n/d;1156;1257
interior_vehiculo_hechos;propiedad;hechos;n/d;133;181;119;178;272;260
via_publica_con_arma_fuego;propiedad;hechos;42;77;110;n/d;n/d;129;89
via_publica_con_otra_arma;propiedad;hechos;14;31;30;n/d;n/d;n/d;14
delitos_contra_personas_total;personas;hechos;2937;3168;3813;2993;2918;3471;3497
violencia_familiar_denuncias;personas;denuncias;1410;1520;1847;1373;1369;1542;1481
vf_pct_victimas_mujeres;personas;porcentaje;79;76;75;n/d;n/d;75;73
lesiones_denuncias;personas;denuncias;564;649;689;560;n/d;n/d;655
amenazas_denuncias;personas;denuncias;402;491;647;490;n/d;n/d;580
homicidios_dolosos_hechos;personas;hechos;8;12;12;5;7;8;16
homicidios_dolosos_victimas;personas;victimas;8;13;12;5;7;10;16
heridos_por_armas_total;personas;victimas;n/d;n/d;98;145;113;171;172
heridos_arma_fuego;personas;victimas;n/d;n/d;52;90;70;90;78
heridos_arma_blanca;personas;victimas;n/d;n/d;46;55;43;81;94
heridos_pct_varones;personas;porcentaje;n/d;n/d;95;90;n/d;90;81
comercios_sin_personas_interior;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;120
comercios_con_personas_interior;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;62
comercios_modalidad_mechera;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;49
viviendas_franja_00a08;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;99
viviendas_franja_08a16;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;134
viviendas_franja_16a24;propiedad;hechos;n/d;n/d;n/d;n/d;n/d;n/d;164
