periodo;marca;modelo;unidades_sustraidas
2024-Q3;VOLKSWAGEN;GOL;33
2024-Q3;CHEVROLET;CORSA;32
2024-Q3;TOYOTA;HILUX;17
2024-Q3;FIAT;PALIO;15
2024-Q3;PEUGEOT;208;9
2024-Q3;RENAULT;KANGOO;9
2024-Q3;FIAT;SIENA;9
2024-Q3;FIAT;UNO;9
2024-Q3;RENAULT;CLIO;8
2024-Q3;PEUGEOT;207;8
2024-Q3;VOLKSWAGEN;VOYAGE;8
2024-Q3;PEUGEOT;206;7
2024-Q3;FORD;FIESTA;7
2024-Q3;FORD;ECOSPORT;6
2024-Q3;FORD;F100;6
2024-Q3;PEUGEOT;PARTNER;6
2024-Q3;CHEVROLET;ONIX;6
2024-Q3;FORD;RANGER;6
2024-Q3;FORD;KA;6
2024-Q3;VOLKSWAGEN;FOX;5
2024-Q3;CHEVROLET;S10;5
2024-Q3;FIAT;DUNA;5
2024-Q4;CHEVROLET;CORSA;44
2024-Q4;VOLKSWAGEN;GOL;44
2024-Q4;TOYOTA;HILUX;16
2024-Q4;FORD;FIESTA;16
2024-Q4;PEUGEOT;208;15
2024-Q4;VOLKSWAGEN;SURAN;13
2024-Q4;PEUGEOT;207;12
2024-Q4;FIAT;PALIO;12
2024-Q4;FIAT;SIENA;12
2024-Q4;VOLKSWAGEN;AMAROK;11
2024-Q4;TOYOTA;ETIOS;10
2024-Q4;FORD;ECOSPORT;10
2024-Q4;FIAT;CRONOS;9
2024-Q4;TOYOTA;COROLLA;9
2024-Q4;RENAULT;KANGOO;9
2024-Q4;FORD;KA;9
2024-Q4;PEUGEOT;PARTNER;8
2024-Q4;FIAT;UNO;8
2024-Q4;CHEVROLET;PRISMA;8
2024-Q4;FORD;RANGER;8
2025-Q3;CHEVROLET;CORSA;36
2025-Q3;VOLKSWAGEN;GOL;31
2025-Q3;FIAT;PALIO;26
2025-Q3;PEUGEOT;208;19
2025-Q3;TOYOTA;HILUX;15
2025-Q3;RENAULT;KANGOO;14
2025-Q3;FORD;ECO SPORT;13
2025-Q3;FORD;KA;13
2025-Q3;FIAT;SIENA;12
2025-Q3;FORD;FIESTA;11
2025-Q3;CHEVROLET;ONIX;10
2025-Q3;PEUGEOT;PARTNER;9
2025-Q3;VOLKSWAGEN;VOYAGE;9
2025-Q3;VOLKSWAGEN;SURAN;9
2025-Q3;VOLKSWAGEN;AMAROK;9
2025-Q3;RENAULT;CLIO;9
2025-Q3;FIAT;CRONOS;8
2025-Q3;FORD;FOCUS;8
2025-Q3;TOYOTA;COROLLA;8
2025-Q3;FORD;RANGER;8
2025-Q3;RENAULT;SANDERO STEPWAY;7
2025-Q3;FIAT;UNO;7
2025-Q3;PEUGEOT;308;7
2025-Q3;CITROEN;C3;7
2025-Q4;CHEVROLET;CORSA;46
2025-Q4;VOLKSWAGEN;GOL;42
2025-Q4;PEUGEOT;208;36
2025-Q4;FORD;FIESTA;19
2025-Q4;VOLKSWAGEN;SURAN;19
2025-Q4;TOYOTA;HILUX;17
2025-Q4;FIAT;CRONOS;17
2025-Q4;FORD;RANGER;15
2025-Q4;VOLKSWAGEN;AMAROK;15
2025-Q4;FIAT;PALIO;15
2025-Q4;RENAULT;KANGOO;14
2025-Q4;FIAT;SIENA;12
2025-Q4;FORD;ECO SPORT;11
2025-Q4;RENAULT;CLIO;11
2025-Q4;PEUGEOT;PARTNER;11
2025-Q4;FORD;KA;10
2025-Q4;RENAULT;LOGAN;10
2025-Q4;PEUGEOT;206;9
2025-Q4;TOYOTA;ETIOS;9
2025-Q4;RENAULT;DUSTER;8
2025-Q4;RENAULT;SANDERO;8
2025-Q4;CHEVROLET;ONIX;7
2025-Q4;CITROEN;C3;7
2025-Q4;TOYOTA;COROLLA;7
2025-Q4;FIAT;UNO;7
2025-Q4;PEUGEOT;2008;7
2025-Q4;FIAT;FIORINO;6
2025-Q4;PEUGEOT;207;6
2025-Q4;CHEVROLET;AGILE;6
2026-Q1;CHEVROLET;CORSA;45
2026-Q1;VOLKSWAGEN;GOL;35
2026-Q1;PEUGEOT;208;23
2026-Q1;FORD;FIESTA;21
2026-Q1;TOYOTA;HILUX;21
2026-Q1;VOLKSWAGEN;SURAN;17
2026-Q1;FIAT;PALIO;17
2026-Q1;FORD;RANGER;16
2026-Q1;FIAT;CRONOS;15
2026-Q1;FIAT;UNO;15
2026-Q1;FIAT;SIENA;13
2026-Q1;VOLKSWAGEN;AMAROK;12
2026-Q1;FORD;KA;12
2026-Q1;PEUGEOT;PARTNER;11
2026-Q1;FORD;ECO SPORT;11
2026-Q1;RENAULT;KANGOO;10
2026-Q1;TOYOTA;COROLLA;10
2026-Q1;CHEVROLET;ONIX;9
2026-Q1;RENAULT;CLIO;9
2026-Q1;RENAULT;LOGAN;9
2026-Q1;CHEVROLET;PRISMA;9
2026-Q1;RENAULT;DUSTER;9
2026-Q1;PEUGEOT;207;9
