id;estado;fecha_ultima_revision;hash_fila_origen
H01;revisado;2026-08-11;452d86928a67ca0f
H02;revisado;2026-08-11;5c76c3cb2f288914
H03;revisado;2026-08-11;8c503fa251a46428
H06;revisado;2026-08-11;429e17ee791f744b
H04;revisado;2026-08-11;3cdf566c394613d4
H05;revisado;2026-08-11;d6b2c54ec36aaf56
E01;revisado;2026-08-11;e09b7fe7fe074dce
E02;revisado;2026-08-11;9e59e68737887458
E03;revisado;2026-08-11;a0db2a11f790a00f
E04;revisado;2026-08-11;90204e4575c79548
E05;revisado;2026-08-11;81b61fa9e69654b2
E06;revisado;2026-08-11;624cc51df7618240
E07;revisado;2026-08-11;bed411a20858e805
E08;revisado;2026-08-11;6c7e40b109b375f8
M01;revisado;2026-08-11;1d0468ba1447b9bc
M02;revisado;2026-08-11;3035080372d81542
M03;revisado;2026-08-11;5507bfee55c20aa4
M04;revisado;2026-08-11;3ae54117ede1f85f
M05;revisado;2026-08-11;9a20eaca8abeb4c8
M06;revisado;2026-08-11;b10c56dfe235f3d3
M07;revisado;2026-08-11;71dd35d0bb8f68b1
M08;revisado;2026-08-11;fe7a29841aa372f5
C01;revisado;2026-08-11;40286b3bd281b507
C02;revisado;2026-08-11;cf8ca55b375a53b3
C03;revisado;2026-08-11;0916ef59ce3839cc
C04;revisado;2026-08-11;7ebe419cdc1a5c64
C05;revisado;2026-08-11;3f954ac4c93f99c2
C06;revisado;2026-08-11;97bd43ca656d9b65
O01;revisado;2026-08-11;1ee59aea8c5ef37f
O02;revisado;2026-08-11;98dd55592254b305
O03;revisado;2026-08-11;8660afe8b9623095
O04;revisado;2026-08-11;c27c66c9499d44d6
O05;revisado;2026-08-11;f66be85df5bad823
R01;revisado;2026-08-11;f266dc42fd4dd153
R02;revisado;2026-08-11;3e90cc2b04e9298e
R03;revisado;2026-08-11;a89a09f4fd6800a4
R04;revisado;2026-08-11;88090b51c8f2298c
R05;revisado;2026-08-11;1a13c9f626915772
R06;revisado;2026-08-11;cc800e6a6e65fba3
R07;revisado;2026-08-11;dca04a42067444ee
R08;revisado;2026-08-11;00b8a2f4743cb6c2
R09;revisado;2026-08-11;a7f801bc38315781
R10;revisado;2026-08-11;97fb05285a5c1423
R11;revisado;2026-08-11;239be4388dc67161
R12;revisado;2026-08-11;ae699309578736ac
R13;revisado;2026-08-11;50539609807ab125
R14;revisado;2026-08-11;de34b10402001395
X01;revisado;2026-08-11;f5a6d868dc219e65
X02;revisado;2026-08-11;a8f2197ba17c6b58
X03;revisado;2026-08-11;092635b37ced8878
X04;revisado;2026-08-11;20e0f4127dc71c6c
X05;revisado;2026-08-11;069f95b7779deea3
X06;revisado;2026-08-11;0bf2d7988ab72572
X07;revisado;2026-08-11;916d5467485fc7e5
R15;revisado;2026-08-11;ad87087a70ba9bfe
M09;revisado;2026-08-11;a8e1bab3e94e9ac2
C07;revisado;2026-08-11;0348d73b5c7641b3
H07;revisado;2026-08-11;1311b3a78b1f67e9
M10;revisado;2026-08-11;e66f0c380d5d05b6
C08;revisado;2026-08-11;0c4d7607bb4ae4a4
C09;revisado;2026-08-11;817f2d624b68c023
X08;revisado;2026-08-11;b8cf7c60dcb8c0f3
D01;revisado;2026-08-11;104409dd5866e927
D02;revisado;2026-08-11;f92ffa3da964daed
D03;revisado;2026-08-11;777b548c5131cb43
D04;revisado;2026-08-11;3d2472c0105463ad
D05;revisado;2026-08-11;f5b49f091f4a54b5
D06;revisado;2026-08-11;4ea59772f040a8a6
D07;revisado;2026-08-11;e28cbdb87fcf5d7d
R16;revisado;2026-08-11;d8659435c9679f08
R17;revisado;2026-08-11;bce886cfe956488c
R18;revisado;2026-08-11;bffafde2f4485ecf
R19;revisado;2026-08-11;6b032e8bea95c7d6
R20;revisado;2026-08-11;8cae03fe94619e19
R21;revisado;2026-08-11;3e9da4b6218c3822
R22;revisado;2026-08-11;ce32fabcf9d901ff
R23;revisado;2026-08-11;1012fa50ccceeee5
X09;revisado;2026-08-11;c364403e6133c91a
R24;revisado;2026-08-11;4a1bc8fb3cf9a9b6
X10;revisado;2026-08-11;a2a75187898434ff
E09;revisado;2026-08-11;ab246525da528040
C10;revisado;2026-08-11;f6104499ae0c8fc9
D08;revisado;2026-08-11;4128812ac523c7ce
D09;revisado;2026-08-11;bad89cf5ba20021b
D10;revisado;2026-08-11;219562f198b5bc28
X11;revisado;2026-08-11;3d1d1125f5fbae6f
O06;revisado;2026-08-11;db19542a9f1a8622
E10;revisado;2026-08-11;fef6f758a484f16f
M11;revisado;2026-08-11;25bd3069d7911061
M12;revisado;2026-08-11;1e8a66dd02f9f15e
C11;revisado;2026-08-11;7ab25ae37c6571ad
C12;revisado;2026-08-11;6b6ce9fee90c87a1
D11;revisado;2026-08-11;414f986d8a9e1bf5
X12;revisado;2026-08-11;d50a0db0f218a542
X13;revisado;2026-08-11;c4928fabe84eba6f
X14;revisado;2026-08-11;54b904d14a69f420
X15;revisado;2026-08-11;4710c8d60011d879
X16;revisado;2026-08-11;ea8ce0b3a6b28d68
X17;revisado;2026-08-11;2a95cd12849f6b95
M13;revisado;2026-08-11;590bfd8193ed8d0e
X18;revisado;2026-08-11;2baada2bd8b8cbb0
X19;revisado;2026-08-11;60fa890ef2c8acf8
C13;revisado;2026-08-11;dfe60855159c84f0
R25;revisado;2026-08-11;f4e936ef8edeaff9
M14;revisado;2026-08-11;c29335cd9d2f4ea2
M15;revisado;2026-08-11;e5c3066636f00e5a
C14;revisado;2026-08-11;6610978ba634512c
O07;revisado;2026-08-11;6a556fcbd9fac7e1
O08;revisado;2026-08-11;d96bcbbf2bc48735
O09;revisado;2026-08-11;7c207d72e8a3e637
D12;revisado;2026-08-11;cead151e373eae53
D13;revisado;2026-08-11;5962fe923d18a729
X20;revisado;2026-08-11;4dba590222fe12c0
X21;revisado;2026-08-11;47df761fa983f3a7
X22;revisado;2026-08-11;1b85de3e103c05d3
X23;revisado;2026-08-11;ed742680336a2e22
X24;revisado;2026-08-11;a99186eab705c615
X25;revisado;2026-08-11;e61813acebdea0b1
C15;revisado;2026-08-11;f1b82767ca3f4021
X26;revisado;2026-08-11;0fe2503122c04e41
D14;revisado;2026-08-11;176bfd15603c2bf6
O10;revisado;2026-08-11;607dcbc3c36447b3
O11;revisado;2026-08-11;b00a7449f4d5e6a8
X27;revisado;2026-08-11;b57425c3ee22c5aa
X28;revisado;2026-08-11;63392638f7a678a0
M16;revisado;2026-08-11;ad5bad4eaa0c906b
D15;revisado;2026-08-11;f60256c2166540af
O12;revisado;2026-08-11;b749c0fa4983ef4f
M17;revisado;2026-08-11;5874e465be64bb24
D16;revisado;2026-08-11;f643377b672a5ad4
D17;revisado;2026-08-11;a1c2dce302e47caa
O13;revisado;2026-08-11;57516a72e2a93d95
O14;revisado;2026-08-11;87113c5c2b9ba558
X29;revisado;2026-08-11;f7afcf6f683e2002
X30;revisado;2026-08-11;8713aa8e6affa8bb
X31;revisado;2026-08-11;77ba88f0b8cb57b8
U01;revisado;2026-08-11;6d803bfe25d0259d
