id_hecho;fecha_hecho;periodo;partido;tipo;modalidad;barrio;arma;detenidos;victima_edad;victima_sexo;resultado;estado;notas
H01;2026-07-28;2026-07;General Pueyrredon;homicidio;;Parque Camet (zona);blanca;3;40;M;consumado;confirmado;Discusión por el ruido del caño de escape de una moto. 11 puñaladas según autopsia. Detenidos: tres primos de 39, 28 y 24 años.
H02;2026-08-01;2026-08;General Pueyrredon;homicidio;motochorro;Malvinas Argentinas;fuego;2;48;M;consumado;confirmado;El dueño de una ferretería. Av. Libertad al 7700. Disparo en el pecho. Detenidos: un hombre de 23 años, con pedido de captura, y otro de 25.
H03;2026-08-01;2026-08;General Pueyrredon;homicidio;;Regional;fuego;0;68;M;consumado;confirmado;Un conductor de Uber. Villa La Palangana, Quintana y Remedios de Escalada, madrugada del sábado. Disparo en una pierna y golpes en el rostro. Le robaron su Chevrolet Corsa. Sin detenidos. Segundo homicidio en ocasión de robo en 24 horas. Hay una discrepancia de edad entre coberturas, 67 o 68 años, sin resolver (ver X31).
H06;2026-08-02;2026-08;General Pueyrredon;homicidio;falsa_oferta_laboral;Punta Mogotes;blanca;2;24;F;consumado;confirmado;"FEMICIDIO. La víctima, madre de dos hijos de 1 y 6 años. Contactada por Facebook con una falsa oferta laboral y citada en un balneario de Punta Mogotes; el cuerpo apareció en Punta Cantera. Puñalada en la cervical, hemorragia y paro cardíaco. Semienterrada en la playa. Detenidos: dos serenos del balneario, de 26 y 27 años, hallados quemando evidencia en un tacho. Se negaron a declarar. Fiscal Carlos Russo."
H04;;s/d;General Pueyrredon;homicidio;;Coronel Dorrego;fuego;s/d;;;consumado;confirmado;Homicidio de un disparo. Fecha no consignada en la nota.
H05;;s/d;General Pueyrredon;homicidio;;;s/d;0;;M;consumado;confirmado;Duenio de un bar asesinado durante un robo de 8 mil pesos. Se difunden fotos del sospechoso buscado.
E01;2026-07-14;2026-07;General Pueyrredon;robo_vivienda;entradera;Parque Luro;s/d;1;70;F;consumado;confirmado;Banda de al menos cuatro. Maniataron, amordazaron y le hicieron cortes en los dedos del pie. Robaron 600.000 pesos, un anillo de oro y un reloj. Tres prófugos.
E02;2026-07-15;2026-07;General Pueyrredon;operativo;entradera;;s/d;3;;;;confirmado;Nueve allanamientos por entraderas. Banda de Eliseo, al menos cinco entraderas. Búsqueda del líder con helicóptero.
E03;2026-07-16;2026-07;General Pueyrredon;operativo;entradera;;s/d;7;;;;confirmado;Cae la banda de El Encargado. Al menos cuatro entraderas a jubilados de 72 a 87 años.
E04;2026-07-16;2026-07;General Pueyrredon;operativo;entradera;;s/d;s/d;;;;confirmado;Amplio operativo contra bandas dedicadas al robo de autos y entraderas.
E05;2026-07-17;2026-07;General Pueyrredon;operativo;entradera;;s/d;7;;;;confirmado;Once allanamientos simultáneos. Desarmadero clandestino desbaratado. Vehículos y autopartes recuperados. UFIJ 4 y UFIJ 13.
E06;2026-07-17;2026-07;General Pueyrredon;contexto;entradera;;;;;;;confirmado;Mariano Moyano, titular de la Unidad Funcional de Instrucción de Robos Agravados a Viviendas, confirma un promedio de 35 robos por mes en modalidad entradera en Mar del Plata.
E07;2026-07-30;2026-07;General Pueyrredon;robo_vivienda;entradera;Zacagnini / zona norte;fuego;0;;;consumado;confirmado;Raid de una banda: nueve robos y entraderas en dos semanas. Un jubilado de 80 años abordado en calle Aragón, le robaron un Chevrolet Cruze.
E08;;s/d;General Pueyrredon;operativo;entradera;;s/d;2;;;;confirmado;Cayeron los lideres de una banda que robo 22 mil dolares y 15 millones de pesos en una entradera.
M01;2026-07-15;2026-07;General Pueyrredon;robo_automotor;motochorro;;fuego;1;;;consumado;confirmado;Llevaba a su hija a la escuela. Robo de camioneta en menos de un minuto. Imputado por robo triplemente agravado. Fiscal Ana Caro.
M02;2026-07-17;2026-07;General Pueyrredon;robo_via_publica;motochorro;El Progreso;replica;1;;;tentativa;confirmado;Intento de asalto a un automovilista. El arma era una réplica de revólver a CO2. El cómplice escapó en la moto.
M03;2026-07-17;2026-07;General Pueyrredon;robo_automotor;;El Grosellar;s/d;1;;;consumado;confirmado;Detenido de 30 años transportando una moto recién robada de una vivienda.
M04;2026-07-22;2026-07;General Pueyrredon;robo_automotor;motochorro;;fuego;0;;;consumado;confirmado;Motochorros armados abordaron a una familia y le robaron la camioneta.
M05;;s/d;General Pueyrredon;robo_via_publica;motochorro;;s/d;0;;M;tentativa;confirmado;Te mato al nene: intento de robo a un hombre que estaba con su hijo.
M06;;s/d;General Pueyrredon;robo_automotor;motochorro;;s/d;1;;;tentativa;confirmado;Cuatro motochorros intentaron robar una moto. Uno quedo atrapado en una estacion de servicio.
M07;;s/d;General Pueyrredon;robo_via_publica;;;fuego;0;;;consumado;confirmado;Le apuntaron a la cabeza para robarle. Dias despues la tablet aparecio publicada en Marketplace.
M08;;s/d;General Pueyrredon;contexto;motochorro;;;;;;;confirmado;Analisis: los motochorros como modalidad en expansion en centro, sur, periferia y zona norte.
C01;2026-07-18;2026-07;General Pueyrredon;robo_comercio;;Bosque Grande;fuego;1;;;consumado;confirmado;Verdulería. Se llevó unos 200.000 pesos amenazando a un empleado joven. Detenido de 32 años, Unidad Penal 44.
C02;2026-07-19;2026-07;General Pueyrredon;robo_comercio;;;s/d;0;;;tentativa;confirmado;Un empleado de kiosco impidió el robo golpeando al ladrón con una botella de vino.
C03;2026-07-19;2026-07;General Pueyrredon;robo_comercio;;;s/d;1;;;consumado;confirmado;Detenido de 26 años por robos a un comedor y un lavadero. Identificado por cámaras de seguridad.
C04;2026-07-22;2026-07;General Pueyrredon;robo_comercio;;Centro;fuego;1;;;consumado;confirmado;Asalto a mano armada a un kiosco en Luro al 3000. Al detenido de 31 años se le atribuyen otros cinco robos a comercios entre abril y julio. Barrio verificado sobre OpenStreetMap: Luro al 3000 es Centro, no La Perla.
C05;2026-07-26;2026-07;General Pueyrredon;robo_comercio;;La Perla;fuego;0;;;consumado;confirmado;Almacén en 20 de Septiembre y 3 de Febrero. Dame la plata porque te vuelo la cabeza. Amenazaron a comerciantes y a una clienta. Duró menos de un minuto.
C06;;s/d;General Pueyrredon;robo_comercio;;;s/d;0;;;tentativa;confirmado;Intento de robo de la recaudacion de una despensa. El duenio forcejeo y el ladron escapo.
O01;;s/d;General Pueyrredon;robo_via_publica;;;s/d;1;;;consumado;confirmado;Robo, privacion de la libertad y persecucion. Un detenido y dos policias heridos.
O02;;s/d;General Pueyrredon;robo_via_publica;arrebato;;fuego;1;;F;consumado;confirmado;Le robo la mochila a una joven. Al detenerlo le encontraron un revolver.
O03;;s/d;General Pueyrredon;robo_vivienda;escruche;;s/d;1;;F;consumado;confirmado;Entro a robar mientras la duenia hacia las compras. Una vecina lo delato.
O04;;s/d;General Pueyrredon;robo_vivienda;escruche;;s/d;1;;;consumado;confirmado;Robaron una moto y una bicicleta del interior de una casa.
O05;;s/d;General Pueyrredon;violencia_genero;;;otra;1;;F;consumado;confirmado;Fue a exigirle dinero a su expareja y la ataco con un hacha. Quedo detenido.
R01;2026-07-17;2026-07;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Mar del Plata vive con miedo y las calles parecen haber quedado en manos de la delincuencia.
R02;2026-07-24;2026-07;General Pueyrredon;reclamo_vecinal;;Los Pinares / zona norte;;;;;;confirmado;Vecinos de Parque Luro, Los Pinares, Estrada, Zacagnini y Constitución se autoconvocaron en Ricardo Palma y Concepción Arenal.
R03;2026-07-25;2026-07;General Pueyrredon;contexto;;;;;;;;confirmado;Es un pedido unánime. Datos operativos de la policía: tiempo de respuesta al 911, efectivos disponibles, patrulleros.
R04;2026-07-27;2026-07;General Pueyrredon;reclamo_vecinal;;zona norte;;;;;;confirmado;Vecinos reclaman una estrategia integral y advierten que esto no da para más. Describen el desplazamiento del foco delictivo entre barrios.
R05;2026-07-27;2026-07;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Convocatoria al cacerolazo ante robos, entraderas y asaltos violentos.
R06;2026-07-29;2026-07;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Convocan a cacerolazo para el jueves 30 a las 21, desde cada domicilio.
R07;2026-07-30;2026-07;General Pueyrredon;reclamo_vecinal;;;;;;;;confirmado;Cacerolazo en distintos puntos de la ciudad por la ola de inseguridad.
R08;2026-07-30;2026-07;General Pueyrredon;robo_automotor;;;s/d;0;;;consumado;confirmado;Durante el cacerolazo le robaron la moto a un repartidor. Los ladrones chocaron al escapar.
