id_hecho;medio;fecha_publicacion
H01;Infobae;2026-07-28
H01;Minuto Uno;2026-07-28
H01;Infobae;2026-07-29
H02;Infobae;2026-08-02
H02;Punto Noticias;2026-08-01
H02;El Retrato de Hoy;2026-08-01
H02;Sumario Noticias;2026-08-01
H02;0223;2026-08-01
H02;Infobrisas;2026-08-01
H02;0223;2026-08-01
H03;El Retrato de Hoy;2026-08-01
H03;La Capital;2026-08-03
H06;La Capital;2026-08-02
H06;La Capital;2026-08-03
H06;0223;2026-08-02
H06;Infobae;2026-08-02
H06;Cazador de Noticias;2026-08-02
H06;Perfil;2026-08-02
H06;La Nacion;2026-08-02
H06;El Eco;2026-08-02
H06;La Brujula 24;2026-08-02
X07;La Capital;2026-08-03
R15;La Capital;2026-08-03
H04;Qué Digital;
H05;Ahora Mar del Plata;
E01;Infobae;2026-07-15
E01;La Capital;
E01;Canal de las Noticias;2026-07-14
E01;LoQuePasa;
E02;Qué Digital;2026-07-15
E03;Infobae;2026-07-16
E04;Infobrisas;2026-07-16
E05;Infobae;2026-07-17
E05;La Capital;
E05;El Marplatense;
E05;QZ Noticias;
E06;Infobrisas;2026-07-17
E07;Infobae;2026-07-30
E07;Ayacucho al Día;
E08;Ahora Mar del Plata;
M01;Infobae;2026-07-15
M02;La Capital;
M03;La Capital;
M04;Notife;2026-07-22
M05;Notife;
M06;La Capital;
M07;Ahora Mar del Plata;
M08;Punto Noticias;
C01;La Capital;
C02;El Siglo Web;2026-07-19
C03;La Capital;
C04;Infobae;2026-07-22
C04;Radio 10 Mar del Plata;
C04;La Capital;
C05;0223;2026-07-26
C05;Infobae;2026-07-27
C05;Minuto Uno;2026-07-27
C05;ANDigital;2026-07-27
C06;La Capital;
O01;Qué Digital;
O02;Qué Digital;
O03;La Capital;
O04;La Capital;
O05;La Capital;
R01;El Retrato de Hoy;2026-07-17
R02;0223;2026-07-24
R02;Infobrisas;2026-07-24
R03;Infobrisas;2026-07-25
R04;Infobrisas;2026-07-27
R05;El Retrato de Hoy;2026-07-27
R06;0223;2026-07-29
R07;Infobrisas;2026-07-31
R07;La Capital;
R08;La Noticia 1;2026-07-31
R09;Punto Noticias;
R10;LoQuePasa;
R11;Punto Noticias;
R12;Punto Noticias;
R13;Punto Noticias;2026-08-01
R14;El Retrato de Hoy;2026-08-01
X01;Infobrisas;2026-07-30
X02;Infobrisas;2026-07-29
X03;0223;2026-01-21
X04;La Capital;
X05;Punto Noticias;
X05;Mi 8;
X06;LoQuePasa;
M09;La Capital;2026-08-04
C07;La Capital;2026-08-04
H07;La Capital;2026-08-04
M10;La Capital;
M09;0223;2026-08-04
M09;0223;2026-08-04
M09;0223;2026-08-04
C08;0223;2026-08-04
C09;0223;2026-08-04
X08;0223;2026-08-04
M02;Infobrisas;2026-07-17
D01;Infobrisas;2026-08-03
D02;0223;2026-08-03
D03;La Capital;2026-08-04
D04;La Capital;
D05;Infobrisas;2026-07-28
D06;Infobrisas;2026-07-29
D07;La Capital;
R16;0223;2026-08-03
R17;0223;2026-08-03
R18;Infobrisas;2026-08-03
R18;LoQuePasa;2026-08-03
R19;Punto Noticias;2026-08-03
R20;La Capital;2026-08-03
R21;0223;2026-08-03
R22;Punto Noticias;
R23;Punto Noticias;
X09;0223;2026-08-01
R24;Infobae;2026-08-05
R24;La Nacion;2026-08-05
R24;El Esquiú;2026-08-05
R24;Punto Noticias;2026-08-05
R24;Punto Noticias;2026-08-05
R24;Mi 8;2026-08-05
R24;El Retrato de Hoy;2026-08-05
R24;Border Periodismo;2026-08-05
X10;LoQuePasa;2026-08-05
X10;La Tecla;2026-08-05
X10;QZ Noticias;2026-08-05
X10;La Quinta Sección;2026-08-05
X10;Mi 8;2026-08-05
E09;La Capital;2026-08-06
E09;0223;2026-08-06
C10;Radio 10 Mar del Plata;2026-08-06
D08;Infobrisas;2026-08-06
D09;Infobrisas;2026-08-06
D09;0223;2026-08-06
D10;Radio 10 Mar del Plata;2026-08-06
X11;Ahora Mar del Plata;2026-08-06
X11;LoQuePasa;2026-08-06
X11;El Día;2026-08-06
X11;La Capital;2026-08-06
X11;0223;2026-08-07
O06;0223;2026-08-07
O06;La Capital;2026-08-07
E10;La Capital;2026-08-07
M11;0223;2026-08-07
M12;0223;2026-08-07
M12;La Capital;2026-08-07
C11;0223;2026-08-06
C12;0223;2026-08-06
D11;0223;2026-08-05
X12;0223;2026-08-06
X13;0223;2026-08-05
X14;La Capital;2026-08-07
X15;0223;2026-08-07
X16;0223;2026-08-07
X17;La Capital;2026-08-07
M13;La Capital;2026-08-07
X18;La Capital;2026-08-07
X19;0223;2026-08-07
C13;0223;2026-08-07
R25;0223;2026-08-08
M13;0223;2026-08-08
M14;0223;2026-08-08
C14;0223;2026-08-08
D12;La Capital;2026-08-08
O07;La Capital;2026-08-08
O08;La Capital;2026-08-08
O09;La Capital;2026-08-08
M15;La Capital;2026-08-08
E09;0223;2026-08-06
D13;0223;2026-08-08
X20;La Capital;2026-08-09
X21;La Capital;2026-08-09
X22;La Capital;2026-08-09
X23;La Capital;2026-08-09
X24;La Capital;2026-08-09
X25;La Capital;2026-08-09
C15;La Capital;2026-08-09
X11;La Capital;2026-08-09
X10;La Capital;2026-08-09
X26;La Capital;2026-08-10
X20;La Capital;2026-08-10
D14;La Capital;2026-08-10
O10;La Capital;2026-08-10
O11;La Capital;2026-08-10
X27;La Capital;2026-08-10
X28;La Capital;2026-08-10
M16;0223;2026-08-10
D15;0223;2026-08-10
X26;0223;2026-08-10
U01;0223;2026-08-10
O12;0223;2026-08-11
M17;La Capital;2026-08-11
D16;La Capital;2026-08-11
D16;0223;2026-08-11
D17;La Capital;2026-08-11
O13;La Capital;2026-08-11
O14;La Capital;2026-08-11
X29;0223;2026-08-11
X30;0223;2026-08-11
X31;La Capital;2026-08-11
